category,vendor,description,amount
Entertainment,Spotify,streaming #3433,17.52
Healthcare,CVS,medicine doctor health,228.23
Others,Various Services,misc service other #9549,500.29
Healthcare,Quest Diagnostics,doctor health #9157,173.52
Others,Miscellaneous,payment,110.5
Shopping,Nike,shoes purchase clothes,250.98
Entertainment,Netflix,streaming #7789,29.25
Groceries,Safeway,meat bread produce #1853,79.51
Groceries,Walmart,groceries meat,90.76
Healthcare,Walgreens,medical medicine #5496,291.24
Groceries,Kroger,meat,95.83
Transportation,Lyft,fuel gas #9260,10.5
Bills & Utilities,Water Service,service bill utility #2214,886.92
Entertainment,AMC Theaters,movie #8858,35.69
Healthcare,Quest Diagnostics,medicine prescription health #3525,231.73
Transportation,Lyft,gas transportation #1034,25.26
Transportation,Lyft,transit,15.42
Shopping,Amazon,purchase electronics #3774,162.06
Transportation,Uber,transit transportation,6.34
Healthcare,CVS,doctor,120.67
Food & Dining,Pizza Hut,restaurant lunch,200.02
Others,Miscellaneous,misc,695.16
Food & Dining,Local Restaurant,takeout restaurant,902.43
Entertainment,Spotify,movie game streaming,16.03
Food & Dining,McDonalds,delivery meal #5816,682.38
Healthcare,Local Clinic,prescription medical,445.94
Healthcare,Walgreens,medical,60.21
Shopping,Best Buy,purchase #1819,57.26
Transportation,Shell,taxi fuel gas,55.29
Transportation,BP,gas ride transportation,50.17
Entertainment,Netflix,music streaming game,13.0
Shopping,H&M,purchase shoes,48.46
Entertainment,Steam,game,38.17
Bills & Utilities,Electric Company,utility monthly #1060,630.23
Transportation,Metro,ride taxi #2455,24.28
Healthcare,CVS,medical medicine doctor,71.48
Healthcare,CVS,prescription,334.26
Bills & Utilities,AT&T,bill,781.57
Shopping,Target,accessories electronics purchase,169.36
Shopping,Nike,accessories #9872,82.75
Bills & Utilities,Water Service,utility payment,130.42
Healthcare,Local Clinic,prescription medical medicine,253.68
Entertainment,Spotify,music #4306,19.3
Groceries,Walmart,groceries produce,36.5
Bills & Utilities,Electric Company,bill service,231.64
Bills & Utilities,Verizon,payment bill,869.41
Bills & Utilities,Verizon,bill,445.46
Entertainment,Xbox,music,15.06
Entertainment,Steam,movie,48.53
Shopping,Nike,shoes electronics #7030,150.65
Entertainment,AMC Theaters,streaming #1714,28.08
Food & Dining,Pizza Hut,delivery meal,691.73
Healthcare,CVS,prescription,433.84
Shopping,Best Buy,accessories purchase #7443,182.33
Bills & Utilities,Water Service,payment monthly,971.31
Entertainment,Spotify,music,15.99
Food & Dining,Local Restaurant,lunch #5934,539.54
Others,Various Services,general #5115,648.94
Healthcare,Local Clinic,doctor medicine medical,497.37
Entertainment,Xbox,movie music,20.1
Shopping,Best Buy,electronics #4243,259.8
Others,Various Services,misc service general,389.03
Shopping,Nike,accessories clothes,57.94
Others,Miscellaneous,misc #1593,783.31
Transportation,Uber,taxi transportation fuel,26.73
Food & Dining,Subway,dinner restaurant,283.24
Groceries,Kroger,groceries dairy food #5486,70.88
Bills & Utilities,Electric Company,utility bill #7223,536.77
Shopping,H&M,shoes clothes #3312,60.91
Entertainment,Steam,game music,36.77
Food & Dining,Pizza Hut,lunch meal,596.14
Transportation,Shell,ride,73.11
Entertainment,Steam,entertainment,25.27
Groceries,Safeway,meat,176.84
Shopping,H&M,electronics accessories shoes #5162,15.18
Healthcare,Walgreens,medicine medical,94.65
Healthcare,Quest Diagnostics,health doctor medical,74.08
Entertainment,Xbox,movie streaming #3086,20.9
Bills & Utilities,Water Service,service,316.66
Healthcare,Quest Diagnostics,medical doctor,227.48
Groceries,Trader Joes,groceries produce meat #8201,174.39
Entertainment,Xbox,streaming game music #4123,25.52
Bills & Utilities,AT&T,monthly bill service,701.82
Bills & Utilities,Verizon,payment service utility,788.78
Food & Dining,McDonalds,takeout delivery,495.02
Transportation,Metro,taxi transit transportation,12.55
Healthcare,Quest Diagnostics,prescription health medicine,206.74
Entertainment,Spotify,entertainment,36.7
Entertainment,Steam,entertainment music,19.8
Groceries,Trader Joes,groceries,180.64
Bills & Utilities,Verizon,utility monthly,789.46
Shopping,Best Buy,purchase,216.03
Bills & Utilities,AT&T,utility,999.08
Food & Dining,Subway,takeout,136.45
Healthcare,Local Clinic,medical,188.67
Groceries,Walmart,produce groceries food,126.1
Transportation,Lyft,transportation ride fuel #2175,76.56
Bills & Utilities,Water Service,monthly bill,232.78
Shopping,Amazon,accessories electronics clothes #1949,87.44
Shopping,Amazon,purchase electronics,84.04
Shopping,Nike,shoes accessories clothes #5110,193.02
Shopping,Nike,accessories electronics,50.05
Others,Miscellaneous,other misc general,557.04
Groceries,Whole Foods,produce dairy #2012,27.18
Food & Dining,Pizza Hut,lunch,520.76
Bills & Utilities,Water Service,service utility monthly,309.22
Shopping,Target,accessories purchase electronics,54.59
Shopping,Best Buy,shoes clothes,65.94
Entertainment,Xbox,game streaming,16.39
Bills & Utilities,Verizon,bill monthly service,982.63
Bills & Utilities,Verizon,monthly service payment,894.7
Entertainment,AMC Theaters,streaming,10.55
Entertainment,Xbox,entertainment game movie,22.01
Others,Miscellaneous,other #7950,720.82
Healthcare,Quest Diagnostics,doctor medicine,156.18
Bills & Utilities,Electric Company,monthly bill utility,740.32
Entertainment,Netflix,streaming game,42.53
Others,Miscellaneous,misc payment other,499.36
Bills & Utilities,Verizon,bill,531.7
Bills & Utilities,Water Service,utility,173.85
Groceries,Whole Foods,dairy,100.75
Others,Miscellaneous,misc payment general,123.85
Bills & Utilities,Verizon,service payment #4758,435.65
Bills & Utilities,Electric Company,bill #9414,32.19
Bills & Utilities,Water Service,monthly,885.52
Others,Miscellaneous,payment service,602.64
Food & Dining,Chipotle,meal restaurant,797.17
Food & Dining,Subway,dinner lunch,509.43
Bills & Utilities,Water Service,payment service #7346,850.36
Others,Miscellaneous,general misc service,594.41
Bills & Utilities,Verizon,utility monthly,613.87
Entertainment,Netflix,entertainment,25.21
Bills & Utilities,Electric Company,utility service #1439,709.09
Bills & Utilities,Verizon,payment monthly service,904.42
Healthcare,Quest Diagnostics,medicine doctor,426.09
Transportation,Shell,taxi fuel,76.41
Others,Miscellaneous,other payment #8037,253.17
Transportation,Metro,fuel gas transportation,30.21
Entertainment,Steam,music game,12.1
Healthcare,Walgreens,medical,112.45
Food & Dining,Subway,lunch delivery dinner,779.45
Transportation,Shell,ride,76.64
Transportation,Shell,transportation transit,76.35
Shopping,Nike,clothes,83.16
Transportation,Lyft,fuel,35.16
Others,Miscellaneous,misc other,750.07
Food & Dining,Local Restaurant,restaurant takeout dinner,263.26
Shopping,Amazon,clothes shoes purchase,296.5
Groceries,Walmart,dairy,90.85
Entertainment,Steam,game streaming movie,49.25
Others,Various Services,payment,910.86
Transportation,Shell,transportation ride,51.85
Entertainment,Netflix,streaming music,18.76
Groceries,Kroger,food bread dairy,153.99
Healthcare,Walgreens,doctor prescription,265.07
Healthcare,CVS,medicine,249.46
Groceries,Safeway,bread #5076,116.12
Entertainment,Xbox,movie entertainment game #4660,39.9
Transportation,Metro,taxi transportation ride,50.32
Food & Dining,McDonalds,meal,429.69
Food & Dining,Pizza Hut,delivery restaurant dinner,25.68
Others,Various Services,misc other service,898.58
Groceries,Kroger,groceries bread produce,102.74
Bills & Utilities,Electric Company,payment utility monthly #8696,912.53
Shopping,Best Buy,accessories purchase,230.45
Groceries,Walmart,groceries bread meat #6768,84.05
Food & Dining,Local Restaurant,meal,623.46
Entertainment,Spotify,entertainment,46.01
Shopping,H&M,electronics clothes purchase,21.79
Shopping,H&M,electronics shoes,137.76
Food & Dining,McDonalds,dinner #3897,840.05
Transportation,Lyft,gas,37.43
Others,Various Services,misc payment general #4650,654.24
Groceries,Safeway,groceries #8163,163.18
Bills & Utilities,AT&T,monthly payment #6244,189.04
Groceries,Whole Foods,groceries produce #4285,152.94
Groceries,Kroger,groceries food bread #3057,20.95
Shopping,Amazon,accessories purchase clothes,296.53
Others,Various Services,service misc other,359.96
Entertainment,Netflix,movie streaming,39.27
Healthcare,Walgreens,prescription medical health #3218,463.7
Entertainment,Netflix,movie music #3393,44.39
Shopping,Nike,clothes #1958,108.57
Bills & Utilities,Water Service,monthly payment utility #6355,877.26
Healthcare,CVS,health doctor medical #1158,244.62
Healthcare,Walgreens,medicine medical #5620,207.98
Transportation,Shell,transportation fuel,6.18
Healthcare,Local Clinic,medical medicine health,339.79
Healthcare,Quest Diagnostics,health medicine,412.48
Others,Unknown Vendor,other,249.51
Transportation,Lyft,gas transit ride,46.61
Groceries,Walmart,bread dairy produce,166.39
Shopping,Amazon,clothes,169.78
Groceries,Kroger,dairy,184.28
Transportation,Uber,transit fuel,72.31
Transportation,Metro,taxi gas,34.23
Shopping,Nike,purchase accessories,47.97
Others,Various Services,payment misc,31.98
Entertainment,Xbox,movie,49.45
Others,Miscellaneous,misc service general #8127,574.09
Healthcare,Walgreens,medicine #2879,141.21
Entertainment,Spotify,music streaming game,46.78
Others,Unknown Vendor,general #2639,727.67
Bills & Utilities,Electric Company,service payment,219.16
Groceries,Safeway,groceries meat,55.73
Others,Unknown Vendor,other,101.17
Groceries,Safeway,food,58.15
Others,Miscellaneous,other,269.86
Entertainment,AMC Theaters,streaming #9926,34.54
Transportation,Shell,transit transportation ride,23.73
Others,Various Services,other,499.47
Entertainment,Spotify,streaming entertainment,31.83
Groceries,Walmart,food bread #2345,106.35
Transportation,Uber,fuel taxi #5243,22.01
Bills & Utilities,Water Service,service #3042,505.84
Transportation,BP,fuel ride gas,65.51
Healthcare,Quest Diagnostics,medical medicine #4383,39.5
Food & Dining,Local Restaurant,meal delivery lunch,553.03
Shopping,Target,accessories,216.08
Groceries,Walmart,food,192.93
Transportation,Uber,transportation gas,77.63
Entertainment,Netflix,music #7850,35.46
Entertainment,Xbox,music,33.35
Healthcare,CVS,doctor medicine health,416.56
Food & Dining,McDonalds,takeout,136.98
Shopping,Nike,clothes electronics,79.41
Entertainment,Steam,game music #2696,40.6
Entertainment,Netflix,streaming game #3447,10.63
Others,Various Services,misc,107.59
Entertainment,Spotify,music movie entertainment,25.1
Bills & Utilities,Water Service,utility,432.71
Healthcare,Walgreens,medical health,188.12
Shopping,Nike,clothes #7648,228.11
Others,Unknown Vendor,misc payment #7928,335.13
Shopping,Amazon,shoes electronics #7403,188.43
Others,Various Services,general,156.35
Healthcare,Quest Diagnostics,medicine health,417.01
Shopping,Amazon,accessories,57.42
Food & Dining,Pizza Hut,restaurant,593.49
Groceries,Trader Joes,food bread,31.8
Food & Dining,McDonalds,takeout delivery meal #5181,814.27
Bills & Utilities,Verizon,service,223.26
Others,Various Services,general service,484.38
Shopping,Amazon,shoes clothes accessories,179.32
Entertainment,Netflix,movie music game #1802,19.46
Shopping,Target,accessories clothes shoes,139.13
Groceries,Trader Joes,groceries meat #1776,192.38
Groceries,Safeway,produce,37.77
Others,Miscellaneous,general payment,758.82
Food & Dining,McDonalds,meal lunch dinner,563.32
Food & Dining,Pizza Hut,takeout lunch #2164,84.68
Food & Dining,Local Restaurant,restaurant meal #1699,704.63
Food & Dining,Chipotle,meal delivery,749.67
Shopping,Target,accessories shoes purchase,270.56
Groceries,Kroger,food meat bread,30.63
Healthcare,CVS,prescription,122.93
Food & Dining,Pizza Hut,lunch dinner delivery,20.4
Groceries,Safeway,dairy groceries food,167.91
Others,Various Services,payment service misc #3882,895.58
Food & Dining,Local Restaurant,delivery,559.56
Entertainment,Steam,movie game music,44.25
Food & Dining,McDonalds,takeout restaurant,279.53
Groceries,Whole Foods,produce groceries meat,57.23
Food & Dining,Chipotle,restaurant,374.15
Shopping,Best Buy,shoes clothes #5890,270.91
Healthcare,Walgreens,doctor medical,200.79
Groceries,Whole Foods,meat food produce,159.88
Groceries,Safeway,bread food #3594,153.36
Bills & Utilities,Verizon,monthly,555.96
Transportation,BP,fuel #4882,19.18
Shopping,Amazon,clothes shoes electronics,86.67
Bills & Utilities,AT&T,utility monthly payment,827.14
Groceries,Walmart,produce meat groceries,90.96
Entertainment,AMC Theaters,movie entertainment,29.62
Bills & Utilities,Electric Company,bill #4233,673.34
Transportation,Metro,taxi transit,23.74
Bills & Utilities,Water Service,bill payment utility,93.61
Shopping,Target,purchase electronics,50.63
Food & Dining,Subway,restaurant lunch,206.07
Shopping,H&M,clothes,216.99
Others,Various Services,general payment #3524,306.72
Bills & Utilities,Electric Company,bill service payment #3746,711.85
Bills & Utilities,Water Service,monthly service utility,741.24
Others,Miscellaneous,service misc #4410,209.4
Healthcare,Quest Diagnostics,medical medicine doctor #9612,369.4
Groceries,Walmart,dairy groceries #5840,79.76
Food & Dining,McDonalds,dinner delivery,89.9
Food & Dining,Local Restaurant,delivery #1464,592.36
Healthcare,Local Clinic,medicine,363.62
Bills & Utilities,AT&T,utility,843.63
Bills & Utilities,Electric Company,bill #3996,986.06
Bills & Utilities,Verizon,payment bill #9009,411.63
Others,Unknown Vendor,general other,730.58
Entertainment,Steam,music streaming game #5139,43.3
Groceries,Trader Joes,meat produce bread,190.47
Shopping,Target,shoes electronics purchase #7432,101.27
Food & Dining,McDonalds,delivery restaurant takeout #1485,436.51
Transportation,Uber,fuel taxi transit #5193,63.91
Shopping,Best Buy,clothes accessories purchase,42.3
Groceries,Whole Foods,meat,121.7
Food & Dining,Local Restaurant,delivery #7399,54.82
Others,Various Services,service misc,289.47
Food & Dining,Local Restaurant,dinner meal #5934,476.18
Entertainment,Steam,game music movie #1893,37.04
Food & Dining,Pizza Hut,delivery,709.59
Bills & Utilities,AT&T,payment,939.97
Healthcare,CVS,medicine #9697,76.53
Entertainment,Spotify,game music,14.23
Transportation,Uber,transit,21.48
Groceries,Trader Joes,dairy meat food #6979,36.58
Food & Dining,McDonalds,delivery dinner takeout,875.17
Bills & Utilities,Electric Company,payment service monthly #9802,596.28
Bills & Utilities,AT&T,bill,811.15
Food & Dining,Subway,lunch,972.56
Others,Various Services,general misc,552.6
Shopping,H&M,shoes clothes #9723,105.92
Transportation,BP,transit transportation fuel,38.7
Bills & Utilities,AT&T,bill service payment,621.01
Food & Dining,McDonalds,lunch takeout restaurant,784.31
Bills & Utilities,Electric Company,bill utility,44.7
Food & Dining,McDonalds,dinner,136.72
Transportation,Lyft,transit transportation taxi #7936,18.76
Healthcare,Walgreens,prescription medicine doctor,285.63
Groceries,Walmart,bread dairy,28.16
Entertainment,AMC Theaters,streaming music game,49.48
Entertainment,Steam,entertainment movie streaming,42.2
Food & Dining,Pizza Hut,takeout lunch dinner,862.09
Groceries,Whole Foods,dairy bread #6989,132.93
Groceries,Whole Foods,bread #5460,55.01
Entertainment,Spotify,movie music #8416,24.22
Healthcare,Walgreens,health,324.21
Healthcare,Walgreens,health,285.3
Healthcare,CVS,health medicine,391.33
Entertainment,Spotify,music,14.76
Shopping,H&M,electronics shoes #1833,132.25
Shopping,Target,clothes accessories shoes #9123,114.9
Groceries,Whole Foods,produce groceries,196.11
Bills & Utilities,Water Service,monthly bill utility,970.28
Shopping,Target,electronics accessories shoes,146.03
Food & Dining,McDonalds,takeout,92.1
Others,Unknown Vendor,other misc general,174.94
Food & Dining,Local Restaurant,dinner,332.7
Healthcare,CVS,medicine health,281.57
Food & Dining,Pizza Hut,takeout restaurant #1668,673.63
Healthcare,Quest Diagnostics,medicine medical prescription #8063,457.35
